r,baseline25,baseline50,learning25,learning50
0.2,26.587999999999983,7.068000000000002,26.547999999999988,7.032000000000002
0.4,26.587999999999983,7.068000000000002,26.523999999999987,7.132000000000002
0.6,26.587999999999983,7.068000000000002,26.64799999999999,7.180000000000003
0.8,26.587999999999983,7.068000000000002,26.595999999999986,7.332000000000001
1.0,26.587999999999983,7.068000000000002,26.495999999999988,7.524000000000003
1.2,26.587999999999983,7.068000000000002,26.419999999999987,7.916000000000004
1.4,26.587999999999983,7.068000000000002,26.52799999999999,8.608000000000004
1.6,26.587999999999983,7.068000000000002,26.57999999999999,9.668000000000006
1.8,26.587999999999983,7.068000000000002,26.655999999999985,10.992000000000004
2.0,26.587999999999983,7.068000000000002,26.535999999999994,12.792000000000003
2.2,26.587999999999983,7.068000000000002,26.45599999999999,14.820000000000002
2.4,26.587999999999983,7.068000000000002,26.619999999999987,17.152
2.6,26.587999999999983,7.068000000000002,27.055999999999987,19.251999999999995
2.8,26.587999999999983,7.068000000000002,27.371999999999986,21.703999999999997
3.0,26.587999999999983,7.068000000000002,27.535999999999994,23.683999999999994
3.2,26.587999999999983,7.068000000000002,27.803999999999984,25.351999999999986
3.4,26.587999999999983,7.068000000000002,27.747999999999983,26.295999999999985
3.6,26.587999999999983,7.068000000000002,28.035999999999984,26.15999999999999
3.8,26.587999999999983,7.068000000000002,28.14399999999998,24.95199999999999
4.0,26.587999999999983,7.068000000000002,27.943999999999985,23.47199999999999
4.2,26.587999999999983,7.068000000000002,27.331999999999983,21.975999999999996
4.4,26.587999999999983,7.068000000000002,26.859999999999985,19.65599999999999
4.6,26.587999999999983,7.068000000000002,25.99999999999999,17.744
4.8,26.587999999999983,7.068000000000002,24.77599999999999,15.543999999999999
5.0,26.587999999999983,7.068000000000002,23.339999999999993,13.732000000000003
5.2,26.587999999999983,7.068000000000002,21.967999999999996,11.992000000000003
5.4,26.587999999999983,7.068000000000002,20.48399999999999,10.180000000000003
5.6,26.587999999999983,7.068000000000002,19.135999999999996,8.524000000000003
5.8,26.587999999999983,7.068000000000002,17.719999999999995,7.232000000000004
6.0,26.587999999999983,7.068000000000002,16.407999999999994,6.264000000000001
6.2,26.587999999999983,7.068000000000002,15.043999999999999,5.300000000000001
6.4,26.587999999999983,7.068000000000002,13.716000000000001,4.516000000000001
6.6,26.587999999999983,7.068000000000002,12.776000000000003,3.932000000000001
6.8,26.587999999999983,7.068000000000002,11.652000000000006,3.34
7.0,26.587999999999983,7.068000000000002,10.660000000000004,2.804
7.2,26.587999999999983,7.068000000000002,9.724000000000006,2.368
7.4,26.587999999999983,7.068000000000002,8.820000000000002,1.9959999999999998
7.6,26.587999999999983,7.068000000000002,7.860000000000003,1.6919999999999997
7.8,26.587999999999983,7.068000000000002,7.024000000000001,1.452
8.0,26.587999999999983,7.068000000000002,6.360000000000002,1.2
