date,rate
1976-06-01,8.85
1976-07-01,8.93
1976-08-01,9.00
1976-09-01,8.98
1976-10-01,8.93
1976-11-01,8.81
1976-12-01,8.79
1977-01-01,8.72
1977-02-01,8.67
1977-03-01,8.69
1977-04-01,8.75
1977-05-01,8.82
1977-06-01,8.86
1977-07-01,8.94
1977-08-01,8.94
1977-09-01,8.90
1977-10-01,8.92
1977-11-01,8.92
1977-12-01,8.96
1978-01-01,9.02
1978-02-01,9.16
1978-03-01,9.20
1978-04-01,9.36
1978-05-01,9.58
1978-06-01,9.71
1978-07-01,9.74
1978-08-01,9.79
1978-09-01,9.76
1978-10-01,9.86
1978-11-01,10.11
1978-12-01,10.35
1979-01-01,10.39
1979-02-01,10.41
1979-03-01,10.43
1979-04-01,10.50
1979-05-01,10.69
1979-06-01,11.04
1979-07-01,11.09
1979-08-01,11.09
1979-09-01,11.30
1979-10-01,11.64
1979-11-01,12.83
1979-12-01,12.90
1980-01-01,12.88
1980-02-01,13.04
1980-03-01,15.28
1980-04-01,16.33
1980-05-01,14.26
1980-06-01,12.71
1980-07-01,12.19
1980-08-01,12.56
1980-09-01,13.20
1980-10-01,13.79
1980-11-01,14.21
1980-12-01,14.79
1981-01-01,14.90
1981-02-01,15.13
1981-03-01,15.40
1981-04-01,15.58
1981-05-01,16.40
1981-06-01,16.70
1981-07-01,16.83
1981-08-01,17.29
1981-09-01,18.16
1981-10-01,18.45
1981-11-01,17.83
1981-12-01,16.92
1982-01-01,17.40
1982-02-01,17.60
1982-03-01,17.16
1982-04-01,16.89
1982-05-01,16.68
1982-06-01,16.70
1982-07-01,16.82
1982-08-01,16.27
1982-09-01,15.43
1982-10-01,14.61
1982-11-01,13.83
1982-12-01,13.62
1983-01-01,13.25
1983-02-01,13.04
1983-03-01,12.80
1983-04-01,12.78
1983-05-01,12.63
1983-06-01,12.87
1983-07-01,13.42
1983-08-01,13.81
1983-09-01,13.73
1983-10-01,13.54
1983-11-01,13.44
1983-12-01,13.42
1984-01-01,13.37
1984-02-01,13.23
1984-03-01,13.39
1984-04-01,13.65
1984-05-01,13.94
1984-06-01,14.42
1984-07-01,14.67
1984-08-01,14.47
1984-09-01,14.35
1984-10-01,14.13
1984-11-01,13.64
1984-12-01,13.18
1985-01-01,13.08
1985-02-01,12.92
1985-03-01,13.17
1985-04-01,13.20
1985-05-01,12.91
1985-06-01,12.22
1985-07-01,12.03
1985-08-01,12.19
1985-09-01,12.19
1985-10-01,12.14
1985-11-01,11.78
1985-12-01,11.26
1986-01-01,10.88
1986-02-01,10.71
1986-03-01,10.08
1986-04-01,9.94
1986-05-01,10.14
1986-06-01,10.68
1986-07-01,10.51
1986-08-01,10.20
1986-09-01,10.01
1986-10-01,9.97
1986-11-01,9.70
1986-12-01,9.31
1987-01-01,9.20
1987-02-01,9.08
1987-03-01,9.04
1987-04-01,9.83
1987-05-01,10.60
1987-06-01,10.54
1987-07-01,10.28
1987-08-01,10.33
1987-09-01,10.89
1987-10-01,11.26
1987-11-01,10.65
1987-12-01,10.65
1988-01-01,10.43
1988-02-01,9.89
1988-03-01,9.93
1988-04-01,10.20
1988-05-01,10.46
1988-06-01,10.46
1988-07-01,10.43
1988-08-01,10.60
1988-09-01,10.48
1988-10-01,10.30
1988-11-01,10.27
1988-12-01,10.61
1989-01-01,10.73
1989-02-01,10.65
1989-03-01,11.03
1989-04-01,11.05
1989-05-01,10.77
1989-06-01,10.20
1989-07-01,9.88
1989-08-01,9.99
1989-09-01,10.13
1989-10-01,9.95
1989-11-01,9.77
1989-12-01,9.74
1990-01-01,9.90
1990-02-01,10.20
1990-03-01,10.27
1990-04-01,10.37
1990-05-01,10.48
1990-06-01,10.16
1990-07-01,10.04
1990-08-01,10.10
1990-09-01,10.18
1990-10-01,10.18
1990-11-01,10.01
1990-12-01,9.67
1991-01-01,9.64
1991-02-01,9.37
1991-03-01,9.50
1991-04-01,9.49
1991-05-01,9.47
1991-06-01,9.62
1991-07-01,9.58
1991-08-01,9.24
1991-09-01,9.01
1991-10-01,8.86
1991-11-01,8.71
1991-12-01,8.50
1992-01-01,8.43
1992-02-01,8.76
1992-03-01,8.94
1992-04-01,8.85
1992-05-01,8.67
1992-06-01,8.51
1992-07-01,8.13
1992-08-01,7.98
1992-09-01,7.92
1992-10-01,8.09
1992-11-01,8.31
1992-12-01,8.22
1993-01-01,8.02
1993-02-01,7.68
1993-03-01,7.50
1993-04-01,7.47
1993-05-01,7.47
1993-06-01,7.42
1993-07-01,7.21
1993-08-01,7.11
1993-09-01,6.92
1993-10-01,6.83
1993-11-01,7.16
1993-12-01,7.17
1994-01-01,7.06
1994-02-01,7.15
1994-03-01,7.68
1994-04-01,8.32
1994-05-01,8.60
1994-06-01,8.40
1994-07-01,8.61
1994-08-01,8.51
1994-09-01,8.64
1994-10-01,8.93
1994-11-01,9.17
1994-12-01,9.20
1995-01-01,9.15
1995-02-01,8.83
1995-03-01,8.46
1995-04-01,8.32
1995-05-01,7.96
1995-06-01,7.57
1995-07-01,7.61
1995-08-01,7.86
1995-09-01,7.64
1995-10-01,7.48
1995-11-01,7.38
1995-12-01,7.20
1996-01-01,7.03
1996-02-01,7.08
1996-03-01,7.62
1996-04-01,7.93
1996-05-01,8.07
1996-06-01,8.32
1996-07-01,8.25
1996-08-01,8.00
1996-09-01,8.23
1996-10-01,7.92
1996-11-01,7.62
1996-12-01,7.60
1997-01-01,7.82
1997-02-01,7.65
1997-03-01,7.90
1997-04-01,8.14
1997-05-01,7.94
1997-06-01,7.69
1997-07-01,7.50
1997-08-01,7.48
1997-09-01,7.43
1997-10-01,7.29
1997-11-01,7.21
1997-12-01,7.10
1998-01-01,6.99
1998-02-01,7.04
1998-03-01,7.13
1998-04-01,7.14
1998-05-01,7.14
1998-06-01,7.00
1998-07-01,6.95
1998-08-01,6.92
1998-09-01,6.72
1998-10-01,6.71
1998-11-01,6.87
1998-12-01,6.72
1999-01-01,6.79
1999-02-01,6.81
1999-03-01,7.04
1999-04-01,6.92
1999-05-01,7.15
1999-06-01,7.55
1999-07-01,7.63
1999-08-01,7.94
1999-09-01,7.82
1999-10-01,7.85
1999-11-01,7.74
1999-12-01,7.91
2000-01-01,8.21
2000-02-01,8.33
2000-03-01,8.24
2000-04-01,8.15
2000-05-01,8.52
2000-06-01,8.29
2000-07-01,8.15
2000-08-01,8.03
2000-09-01,7.91
2000-10-01,7.80
2000-11-01,7.75
2000-12-01,7.38
2001-01-01,7.03
2001-02-01,7.05
2001-03-01,6.95
2001-04-01,7.08
2001-05-01,7.15
2001-06-01,7.16
2001-07-01,7.13
2001-08-01,6.95
2001-09-01,6.82
2001-10-01,6.62
2001-11-01,6.66
2001-12-01,7.07
2002-01-01,7.00
2002-02-01,6.89
2002-03-01,7.01
2002-04-01,6.99
2002-05-01,6.81
2002-06-01,6.65
2002-07-01,6.49
2002-08-01,6.29
2002-09-01,6.09
2002-10-01,6.11
2002-11-01,6.07
2002-12-01,6.05
2003-01-01,5.92
2003-02-01,5.84
2003-03-01,5.75
2003-04-01,5.81
2003-05-01,5.48
2003-06-01,5.23
2003-07-01,5.63
2003-08-01,6.26
2003-09-01,6.15
2003-10-01,5.95
2003-11-01,5.93
2003-12-01,5.88
2004-01-01,5.74
2004-02-01,5.64
2004-03-01,5.45
2004-04-01,5.83
2004-05-01,6.27
2004-06-01,6.29
2004-07-01,6.06
2004-08-01,5.87
2004-09-01,5.75
2004-10-01,5.72
2004-11-01,5.73
2004-12-01,5.75
2005-01-01,5.71
2005-02-01,5.63
2005-03-01,5.93
2005-04-01,5.86
2005-05-01,5.72
2005-06-01,5.58
2005-07-01,5.70
2005-08-01,5.82
2005-09-01,5.77
2005-10-01,6.07
2005-11-01,6.33
2005-12-01,6.27
2006-01-01,6.15
2006-02-01,6.25
2006-03-01,6.32
2006-04-01,6.51
2006-05-01,6.60
2006-06-01,6.68
2006-07-01,6.76
2006-08-01,6.52
2006-09-01,6.40
2006-10-01,6.36
2006-11-01,6.24
2006-12-01,6.14
2007-01-01,6.22
2007-02-01,6.29
2007-03-01,6.16
